"Species","SpecCode","AutoCtr","StockCode","FamCode","PopLWRef","LengthMin","LengthMax","Type","LmaxCompare","EsQ","Number","Sex","a","aTL","b","CoeffDetermination","SEa","SEb","SDa","SDb","LCLa","UCLa","LCLb","UCLb","Method","SpecimenType","Locality","DataRef","C_Code","Comment","Entered","DateEntered","Modified","DateModified","Expert","DateChecked","TS"
"Cephalopholis argus",6396,7928,6717,289,55787,21.5,44,"FL",NA,NA,15,"mixed",0.00929,NA,3.18074,0.97614,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","fresh",NA,55787,"540","Error:  7.2%",1531,2005-12-06,NA,2005-12-06,NA,NA,NA
"Cephalopholis argus",6396,39565,6717,NA,107958,21.1,45.9,"TL",NA,NA,253,"unsexed",0.0119,NA,3.13,0.98,NA,NA,NA,NA,0.00963999982923269,0.0148000000044703,3.05999994277954,3.19000005722046,"Type I linear regression","fresh","2009-2013",NA,"316",NA,65,2017-04-19,NA,2017-04-19,NA,NA,NA
"Cephalopholis argus",6396,41356,6717,NA,116899,NA,NA,"FL",NA,NA,NA,"mixed",0.0109,NA,3.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","fresh","Great Barrier Reef and eastern Torres Strait",116899,"036",NA,3,2018-01-31,NA,2018-01-31,NA,NA,NA
"Cephalopholis argus",6396,41943,6717,NA,118794,7.1,27,"TL",NA,NA,51,"unsexed",0.013,NA,3.06,0.958,NA,NA,NA,NA,NA,NA,NA,NA,"Type I linear regression","fresh","Palawan / 1998-2014",118794,"608",NA,2448,2018-10-31,NA,2018-10-31,NA,NA,NA
"Cephalopholis argus",6396,46644,6717,NA,125598,17.2,41.5,"FL",NA,NA,662,"unsexed",0.0117,NA,3.14,0.98,NA,NA,NA,NA,0.010499999858439,0.0130000002682209,3.09999990463257,3.17000007629395,"type I linear regression",NA,"Mariana Archipelago / 2011-2016.",NA,"580",NA,65,2021-12-06,NA,2021-12-06,NA,NA,NA
"Cephalopholis argus",6396,46938,6717,NA,125599,15.5,41,"FL",NA,NA,1178,"unsexed",0.0206,NA,2.96,0.97,NA,NA,NA,NA,0.0186000000685453,0.0227000005543232,2.9300000667572,2.99000000953674,"type I linear regression",NA,"2010 -2015",NA,"016",NA,65,2022-02-09,NA,2022-02-09,NA,NA,NA
"Cephalopholis argus",6396,48170,6717,NA,126304,17,56.8,"FL",NA,NA,377,"unsexed",0.008,NA,3.197,0.971,NA,NA,NA,NA,0.00700000021606684,0.00999999977648258,3.14000010490417,3.25399994850159,"type I linear regression",NA,"Gilbert island archipelago / 2013-2020.",NA,"296",NA,65,2022-06-08,NA,2022-06-08,NA,NA,NA
"Cephalopholis urodeta",6456,7985,6778,289,5525,NA,NA,NA,NA,NA,NA,"unsexed",0.0138,NA,3.173,0.9722,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","fresh","lagoon",2290,"540",NA,3,1993-06-13,3,1995-09-18,NA,NA,NA
"Cephalopholis urodeta",6456,7986,6778,289,55787,15,25.5,"FL",NA,NA,17,"mixed",0.02822,NA,2.81775,0.90821,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","fresh",NA,55787,"540","Error:  8.4%",1531,2005-12-06,NA,2005-12-06,NA,NA,NA
"Cetoscarus ocellatus",66097,39552,56504,NA,107958,18.7,48.5,"TL",NA,NA,161,"unsexed",0.0276,NA,2.92,0.99,NA,NA,NA,NA,0.0227000005543232,0.033500000834465,2.85999989509583,2.97000002861023,"Type I linear regression","fresh","2009-2013",NA,"316",NA,65,2017-04-18,NA,2017-04-18,NA,NA,NA
"Chaetodon auriga",5557,7420,5847,343,26587,4.5,19,"TL",NA,NA,74,"unsexed",0.0312,NA,2.953,0.99002,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","fresh","lagoon",26587,"540","Update of estimate in Ref. 5525.",3,1993-06-17,3,1998-05-22,NA,NA,NA
"Chaetodon auriga",5557,7421,5847,343,52323,NA,NA,"TL",NA,NA,NA,"mixed",0.023,NA,3.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","fresh","Presumably Philippines.",NA,"608",NA,1,2005-12-08,NA,2005-12-08,NA,NA,NA
"Chaetodon auriga",5557,7422,5847,343,55787,2.4,19,"FL",NA,NA,246,"mixed",0.0404,NA,2.82943,0.98406,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","fresh",NA,55787,"540","Error:  10.3%",1531,2005-12-06,NA,2005-12-06,NA,NA,NA
"Chaetodon baronessa",5558,7423,5848,343,52323,NA,NA,"TL",NA,NA,NA,"mixed",0.0448,NA,2.828,NA,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","fresh","Presumably Philippines.",NA,"608",NA,1,2005-12-12,NA,2005-12-12,NA,NA,NA
"Chaetodon bennetti",5559,7424,5849,343,55787,3,12.6,"FL",NA,NA,20,"mixed",0.03839,NA,2.88508,0.98804,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","fresh",NA,55787,"540","Error:  7.9%",1531,2005-12-06,NA,2005-12-06,NA,NA,NA
"Chaetodon citrinellus",5561,7425,5851,343,26587,3.1,10,"TL",NA,NA,40,"unsexed",0.0409,NA,2.791,0.97614,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","fresh","lagoon",26587,"540","Update of estimate in Ref. 5525.",3,1993-06-17,3,1998-05-22,NA,NA,NA
"Chaetodon citrinellus",5561,7426,5851,343,55787,3,10.5,"FL",NA,NA,74,"mixed",0.0353,NA,2.83414,0.9722,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","fresh",NA,55787,"540","Error:  9.6%",1531,2005-12-06,NA,2005-12-06,NA,NA,NA
"Chaetodon ephippium",5562,7427,5852,343,52323,NA,NA,"TL",NA,NA,NA,"mixed",0.023,NA,3.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","fresh","Presumably Philippines.",NA,"608",NA,1,2005-12-12,NA,2005-12-12,NA,NA,NA
"Chaetodon ephippium",5562,7428,5852,343,55787,3.4,17.5,"FL",NA,NA,63,"mixed",0.02249,NA,3.06092,0.99002,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","fresh",NA,55787,"540","Error:  6.7%",1531,2005-12-06,NA,2005-12-06,NA,NA,NA
"Chaetodon kleinii",5446,7271,5711,343,52323,NA,NA,"TL",NA,NA,NA,"mixed",0.0448,NA,2.828,NA,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","fresh","Presumably Philippines.",NA,"608",NA,1,2005-12-12,NA,2005-12-12,NA,NA,NA
"Chaetodon kleinii",5446,37248,5711,NA,108462,6.5,8.7,"SL",NA,NA,12,"unsexed",0.0449,NA,3.036,0.927,NA,NA,NA,NA,0.0132999997586012,0.152099996805191,2.43600010871887,3.63599991798401,"Type I linear regression","fresh","Davao Gulf / 2009-2012",NA,"608",NA,65,2016-08-26,NA,2016-08-26,NA,NA,NA
"Chaetodon lineolatus",5564,7429,5855,343,55787,2,20,"FL",NA,NA,89,"mixed",0.06926,NA,2.62151,0.97417,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","fresh",NA,55787,"540","Error:  13.3%",1531,2005-12-06,NA,2005-12-06,NA,NA,NA
"Chaetodon lunulatus",14300,45755,14140,NA,124696,7.5,26.7,"TL",NA,"Yes",23,"unsexed",0.24099,NA,2.099,0.796,NA,NA,NA,NA,0.0756900012493134,0.767289996147156,1.61699998378754,2.58100008964539,"type I linear regression",NA,"Northern Line Islands / 2006-2011.",NA,NA,NA,65,2021-08-02,NA,2021-08-02,NA,NA,NA
"Chaetodon mertensii",5567,7432,5857,343,26587,7,10,"TL",NA,NA,13,"unsexed",0.00422,NA,3.808,0.97614,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","fresh","lagoon",26587,"540","Update of estimate in Ref. 5525.",3,1993-06-17,3,1998-05-22,NA,NA,NA
"Chaetodon mertensii",5567,7433,5857,343,55787,7,10,"FL",NA,NA,15,"mixed",0.0043,NA,3.79338,0.96629,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","fresh",NA,55787,"540","Error:  5.4%",1531,2005-12-06,NA,2005-12-06,NA,NA,NA
"Chaetodon pelewensis",6606,8086,6926,343,26587,5,9,"TL",NA,NA,20,"unsexed",0.0385,NA,2.872,0.96629,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","fresh","lagoon",26587,"540","Update of estimate in Ref. 5525.",3,1993-06-17,3,1998-05-22,NA,NA,NA
"Chaetodon pelewensis",6606,8087,6926,343,55787,5,9,"FL",NA,NA,26,"mixed",0.01533,NA,3.29659,0.93509,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","fresh",NA,55787,"540","Error:  11.2%",1531,2005-12-06,NA,2005-12-06,NA,NA,NA
"Chaetodon plebeius",6613,8088,6933,343,26587,2,9.5,"TL",NA,NA,27,"unsexed",0.107,NA,2.36,0.95453,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","fresh","lagoon",26587,"540","Update of estimate in Ref. 5525.",3,1993-06-17,3,1998-05-22,NA,NA,NA
"Chaetodon plebeius",6613,8089,6933,343,55787,2,10,"FL",NA,NA,283,"mixed",0.06061,NA,2.62782,0.9604,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","fresh",NA,55787,"540","Error:  9%",1531,2005-12-06,NA,2005-12-06,NA,NA,NA
"Chaetodon speculum",5576,7434,5866,343,55787,2,11.5,"FL",NA,NA,444,"mixed",0.06637,NA,2.69302,0.96826,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","fresh",NA,55787,"540","Error:  8.9%",1531,2005-12-06,NA,2005-12-06,NA,NA,NA
"Chaetodon trifascialis",5578,7435,5868,343,26587,3,14,"TL",NA,NA,12,"unsexed",0.0468,NA,2.758,0.99401,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","fresh",NA,26587,"540",NA,3,1998-05-21,NA,1998-05-22,NA,NA,NA
"Chaetodon trifascialis",5578,7436,5868,343,55787,3,14,"FL",NA,NA,23,"mixed",0.02578,NA,2.96908,0.97023,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","fresh",NA,55787,"540","Error:  10.2%",1531,2005-12-06,NA,2005-12-06,NA,NA,NA
"Chaetodon ulietensis",5580,7441,5870,343,55787,3.3,12.1,"FL",NA,NA,36,"mixed",0.03114,NA,2.87412,0.99002,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","fresh",NA,55787,"540","Error:  6.9%",1531,2005-12-06,NA,2005-12-06,NA,NA,NA
"Chaetodon unimaculatus",5581,7442,5871,343,55787,4.5,18,"FL",NA,NA,13,"mixed",0.0533,NA,2.83328,0.996,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","fresh",NA,55787,"540","Error:  5.2%",1531,2005-12-06,NA,2005-12-06,NA,NA,NA
"Chaetodon vagabundus",5582,7443,5872,343,55787,4,14,"FL",NA,NA,65,"mixed",0.02776,NA,2.97346,0.9801,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","fresh",NA,55787,"540","Error:  6.4%",1531,2005-12-06,NA,2005-12-06,NA,NA,NA
"Cheilinus chlorourus",5598,7469,5890,362,26587,4.2,32,"FL",NA,NA,22,"unsexed",0.0293,NA,2.849,0.99401,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","fresh","lagoon",26587,"540","Update of estimate in Ref. 5525.",3,1993-06-17,3,1998-05-21,NA,NA,NA
"Cheilinus chlorourus",5598,7470,5890,362,55787,4.2,32,"FL",NA,NA,44,"mixed",0.01972,NA,2.99315,0.98804,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","fresh",NA,55787,"540","Error:  11.7%",1531,2005-12-06,NA,2005-12-06,NA,NA,NA
"Cheilinus chlorourus",5598,37255,5890,NA,108462,8,21.5,"SL",NA,NA,92,"unsexed",0.0407,NA,2.952,0.965,NA,NA,NA,NA,0.0296999998390675,0.0557999983429909,2.83400011062622,3.06900000572205,"Type I linear regression","fresh","Davao Gulf / 2009-2012",NA,"608",NA,65,2016-08-30,NA,2016-08-30,NA,NA,NA
"Cheilinus chlorourus",5598,44228,5890,NA,122754,NA,NA,"TL",NA,NA,100,"unsexed",0.03,NA,2.84,0.93,NA,NA,NA,NA,NA,NA,NA,NA,"nonlinear regression","fresh","off Tanjung Tiram, Southeast Sulawesi/2018",122754,"360","Sampling was from Jan to Jun 2018.",2448,2020-09-02,NA,2020-09-02,NA,NA,NA
"Cheilinus chlorourus",5598,46669,5890,NA,125598,16.4,25,"FL",NA,NA,115,"unsexed",0.0288,NA,2.88,0.94,NA,NA,NA,NA,0.0187999997287989,0.0441999994218349,2.74000000953674,3.01999998092651,"type I linear regression",NA,"Mariana Archipelago / 2011-2016.",NA,"580",NA,65,2021-12-07,NA,2021-12-07,NA,NA,NA
"Cheilinus fasciatus",5600,7474,5892,362,30504,27.7,27.7,"TL",NA,NA,1,"unsexed",0.01487,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"single L-W pair with b=3","fresh",NA,124708,NA,"Estimated from length-weight pairs in the BRAINS table.",1,1999-06-15,NA,2021-08-05,NA,NA,NA
"Cheilinus fasciatus",5600,7475,5892,362,30504,NA,NA,"SL",NA,"Yes",1,"unsexed",0.0318,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"single L-W pair with b=3","fresh",NA,NA,NA,"Estimated from length-weight pairs in the BRAINS table.",1,1999-06-15,NA,1999-06-15,NA,NA,NA
"Cheilinus fasciatus",5600,45794,5892,NA,124708,12.4,17.9,"OT",NA,NA,20,"unsexed",0.0418,NA,2.892,0.993,NA,NA,NA,NA,NA,NA,NA,NA,"Type I linear regression","fresh","Mischief Reef, South China Sea / 2013-2018.",NA,NA,"Length type = BL (body length).",2761,2021-08-05,NA,2021-08-05,NA,NA,NA
"Cheilinus trilobatus",5603,7476,5895,362,26849,2.6,13.4,"TL",NA,NA,42,"unsexed",0.021,NA,2.972,0.9801,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","fresh",NA,26849,"638",NA,3,1998-06-17,NA,1998-06-17,NA,NA,NA
"Cheilinus trilobatus",5603,7477,5895,362,55787,8.5,24,"FL",NA,NA,9,"mixed",0.01623,NA,3.05947,0.99401,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","fresh",NA,55787,"540","Error:  8.5%",1531,2005-12-06,NA,2005-12-06,NA,NA,NA
"Cheilinus trilobatus",5603,37257,5895,NA,108462,5.4,28,"SL",NA,NA,133,"unsexed",0.0315,NA,3.04,0.986,NA,NA,NA,NA,0.0263999998569489,0.0377000011503696,2.9779999256134,3.10199999809265,"Type I linear regression","fresh","Davao Gulf / 2009-2012",NA,"608",NA,65,2016-08-30,NA,2016-08-30,NA,NA,NA
"Cheilinus trilobatus",5603,44227,5895,NA,122754,NA,NA,"TL",NA,NA,146,"unsexed",0.1,NA,2.35,0.77,NA,NA,NA,NA,NA,NA,NA,NA,"nonlinear regression","fresh","off Tanjung Tiram, Southeast Sulawesi/2018",122754,"360","Sampling was from Jan to Jun 2018.",2448,2020-09-02,NA,2020-09-02,NA,NA,NA
"Cheilinus trilobatus",5603,46670,5895,NA,125598,15.5,35.2,"FL",NA,NA,1477,"unsexed",0.0451,NA,2.73,0.97,NA,NA,NA,NA,0.0417999997735023,0.048700001090765,2.70000004768372,2.75,"type I linear regression",NA,"Mariana Archipelago / 2011-2016.",NA,"580",NA,65,2021-12-07,NA,2021-12-07,NA,NA,NA
"Cheilinus trilobatus",5603,46940,5895,NA,125599,17,31.2,"FL",NA,NA,153,"unsexed",0.0401,NA,2.8,0.94,NA,NA,NA,NA,0.0280000008642673,0.0573999993503094,2.6800000667572,2.91000008583069,"type I linear regression",NA,"2010 -2015",NA,"016",NA,65,2022-02-09,NA,2022-02-09,NA,NA,NA
"Chlorurus bleekeri",4976,38497,5209,NA,108462,10,28,"SL",NA,NA,38,"unsexed",0.0415,NA,2.946,0.988,NA,NA,NA,NA,0.0303000006824732,0.0570000000298023,2.83699989318848,3.0550000667572,"Type I linear regression","fresh","Davao Gulf / 2009-2012",NA,"608",NA,65,2016-11-04,NA,2016-11-04,NA,NA,NA
"Chlorurus spilurus",66478,46944,57180,NA,125599,18,48.6,"FL",NA,NA,377,"unsexed",0.0166,NA,3.09,0.98,NA,NA,NA,NA,0.0142000000923872,0.0194000005722046,3.03999996185303,3.14000010490417,"type I linear regression",NA,"2010 -2015",NA,"016",NA,65,2022-02-09,NA,2022-02-09,NA,NA,NA
"Chromis atripectoralis",5450,7276,5718,350,26587,3.5,9,"FL",NA,NA,24,"unsexed",0.0204,NA,3.217,0.97812,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","fresh",NA,26587,"540",NA,3,1998-05-21,NA,1998-05-21,NA,NA,NA
"Chromis atripectoralis",5450,7277,5718,350,55787,3.5,9,"FL",NA,NA,24,"mixed",0.01791,NA,3.29073,0.97812,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","fresh",NA,55787,"540","Error:  10.4%",1531,2005-12-06,NA,2005-12-06,NA,NA,NA
"Chromis chrysura",6656,8113,6976,350,26587,5.5,12,"FL",NA,NA,58,"unsexed",0.0306,NA,3.09,0.95844,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","fresh","lagoon",26587,"540","Update of estimate in Ref. 5525.",3,1993-06-17,3,1998-05-21,NA,NA,NA
"Chromis chrysura",6656,8114,6976,350,55787,5.5,12,"FL",NA,NA,58,"mixed",0.02282,NA,3.22232,0.95844,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","fresh",NA,55787,"540","Error:  8.1%",1531,2005-12-06,NA,2005-12-06,NA,NA,NA
"Chromis ternatensis",5677,7564,5970,350,26587,5,7.5,"FL",NA,NA,30,"unsexed",0.043,NA,2.889,0.84824,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","fresh","lagoon",26587,"540","Update of estimate in Ref. 5525.",3,1993-06-17,3,1998-05-21,NA,NA,NA
"Chromis ternatensis",5677,7565,5970,350,55787,5,7.5,"FL",NA,NA,30,"mixed",0.01597,NA,3.408,0.84824,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","fresh",NA,55787,"540","Error:  8.7%",1531,2005-12-06,NA,2005-12-06,NA,NA,NA
"Chromis viridis",5679,7566,5972,350,26587,2,7,"FL",NA,NA,139,"unsexed",0.0642,NA,2.518,0.88925,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","fresh",NA,26587,"540","Update of estimate in Ref. 5525 (as <i>C. caerulea</i>).",3,1998-05-21,3,1999-07-06,NA,NA,NA
"Chromis viridis",5679,8130,5972,350,30504,6.3,6.3,"TL",NA,NA,1,"unsexed",0.0188,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"single L-W pair with b=3","fresh",NA,NA,NA,"Estimated from length-weight pairs in the BRAINS table.",1,1999-06-15,NA,1999-06-15,NA,NA,NA
"Chromis viridis",5679,8131,5972,350,30504,NA,NA,"SL",NA,"Yes",1,"unsexed",0.0376,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"single L-W pair with b=3","fresh",NA,NA,NA,"Estimated from length-weight pairs in the BRAINS table.",1,1999-06-15,NA,1999-06-15,NA,NA,NA
"Chromis viridis",5679,8132,5972,350,48600,3,9.8,"TL","yes",NA,1079,"unsexed",0.02445,NA,2.784,0.88925,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","fresh","Lakshadweep lagoons, 1993-97",48600,"356","Name applied to <i>Chromis caeruleus</i>.",3,2003-09-24,14,2013-04-26,NA,NA,NA
"Chromis viridis",5679,7567,5972,350,55787,2,7,"FL",NA,NA,144,"mixed",0.03507,NA,2.89965,0.86862,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","fresh",NA,55787,"540","Error:  16%",1531,2005-12-06,NA,2005-12-06,NA,NA,NA
"Chromis weberi",5680,7568,5973,350,30504,NA,NA,"SL",NA,"Yes",1,"unsexed",0.03906,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"single L-W pair with b=3","fresh",NA,NA,NA,"Estimated from length-weight pairs in the BRAINS table.",1,1999-06-15,NA,1999-06-15,NA,NA,NA
"Chromis xanthura",5682,7569,5975,350,52323,NA,NA,"TL",NA,NA,NA,"mixed",0.009,NA,2.773,NA,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","fresh","Presumably Philippines.",NA,"608",NA,1,2005-12-12,NA,2005-12-12,NA,NA,NA
"Chrysiptera biocellata",5693,7578,5986,350,30504,6.6,8.1,"TL",NA,NA,2,"unsexed",0.02388,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"several L-W pairs with b=3","fresh",NA,NA,NA,"Estimated from length-weight pairs in the BRAINS table.",1,1999-06-15,NA,1999-06-15,NA,NA,NA
"Chrysiptera biocellata",5693,7579,5986,350,30504,5.5,6.9,"SL",NA,"Yes",2,"unsexed",0.03992,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"several L-W pairs with b=3","fresh",NA,NA,NA,"Estimated from length-weight pairs in the BRAINS table.",1,1999-06-15,NA,1999-06-15,NA,NA,NA
"Chrysiptera glauca",5696,7580,5989,350,30504,6.3,7.8,"TL",NA,NA,2,"unsexed",0.02166,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"several L-W pairs with b=3","fresh",NA,NA,NA,"Estimated from length-weight pairs in the BRAINS table.",1,1999-06-15,NA,1999-06-15,NA,NA,NA
"Chrysiptera glauca",5696,7581,5989,350,30504,5.2,6.5,"SL",NA,"Yes",2,"unsexed",0.03796,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"several L-W pairs with b=3","fresh",NA,NA,NA,"Estimated from length-weight pairs in the BRAINS table.",1,1999-06-15,NA,1999-06-15,NA,NA,NA
"Chrysiptera taupou",12451,9066,12779,350,26587,3.5,8,"FL",NA,NA,54,"unsexed",0.0377,NA,2.702,0.9025,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","fresh",NA,26587,"540","Update of estimate in Ref. 5525 (as <i>C. cyanea</i>).",3,1998-05-21,NA,1999-07-06,NA,NA,NA
"Chrysiptera taupou",12451,9067,12779,350,55787,3.5,8.2,"FL",NA,NA,85,"mixed",0.02199,NA,3.00115,0.89492,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","fresh",NA,55787,"540","Error:  13.5%",1531,2005-12-06,NA,2005-12-06,NA,NA,NA
"Coris aygula",5624,7496,5918,362,30504,46,48,"TL",NA,NA,2,"unsexed",0.01452,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"several L-W pairs with b=3","fresh",NA,NA,NA,"Estimated from length-weight pairs in the BRAINS table.",1,1999-06-15,NA,1999-06-15,NA,NA,NA
"Coris aygula",5624,7497,5918,362,30504,40,42.5,"SL",NA,NA,2,"unsexed",0.02149,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"several L-W pairs with b=3","fresh",NA,NA,NA,"Estimated from length-weight pairs in the BRAINS table.",1,1999-06-15,NA,1999-06-15,NA,NA,NA
"Coris aygula",5624,7498,5918,362,55787,32.5,55,"FL",NA,NA,11,"mixed",0.00266,NA,3.48857,0.98406,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","fresh",NA,55787,"540","Error:  5.2%",1531,2005-12-06,NA,2005-12-06,NA,NA,NA
"Coris gaimard",5625,7499,5919,362,30504,15.7,15.7,"TL",NA,NA,1,"unsexed",0.0109,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"single L-W pair with b=3","fresh",NA,NA,NA,"Estimated from length-weight pairs in the BRAINS table.",1,1999-06-15,NA,1999-06-15,NA,NA,NA
"Coris gaimard",5625,7500,5919,362,30504,NA,NA,"SL",NA,NA,1,"unsexed",0.01715,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"single L-W pair with b=3","fresh",NA,NA,NA,"Estimated from length-weight pairs in the BRAINS table.",1,1999-06-15,NA,1999-06-15,NA,NA,NA
"Ctenochaetus binotatus",6012,7806,6326,412,26587,8.5,15,"FL",NA,NA,13,"unsexed",0.081,NA,2.59,0.93122,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","fresh",NA,26587,"540",NA,3,1998-05-21,NA,1998-05-21,NA,NA,NA
"Ctenochaetus binotatus",6012,7807,6326,412,55787,8.5,15.3,"FL",NA,NA,18,"mixed",0.03916,NA,2.87463,0.93896,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","fresh",NA,55787,"540","Error:  9.3%",1531,2005-12-06,NA,2005-12-06,NA,NA,NA
"Ctenochaetus binotatus",6012,36974,6326,NA,108462,5,14,"SL",NA,NA,22,"unsexed",0.0615,NA,2.933,0.988,NA,NA,NA,NA,0.043699998408556,0.0865999981760979,2.78500008583069,3.08100008964539,"Type I linear regression","fresh","Davao Gulf / 2009-2012",NA,"608",NA,65,2016-06-06,NA,2016-09-27,NA,NA,NA
"Ctenochaetus striatus",1262,3147,1279,412,3807,NA,NA,NA,NA,NA,NA,"unsexed",0.021,NA,3.04,0.97614,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","fresh","Woleai Atoll, Yap State, 1991",3807,"583","condition factor = 2.384",3,1992-06-14,NA,1994-01-27,NA,NA,NA
"Ctenochaetus striatus",1262,3148,1279,412,26587,3.8,21,"FL",NA,NA,133,"unsexed",0.0254,NA,3.027,0.99002,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","fresh","lagoon",26587,"540","Update of estimate in Ref. 5525.",3,1993-06-19,3,1998-05-22,NA,NA,NA
"Ctenochaetus striatus",1262,3149,1279,412,26849,4.1,16,"TL",NA,NA,71,"unsexed",0.0137,NA,3.083,0.96629,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","fresh",NA,26849,"638",NA,3,1998-06-17,NA,1998-06-17,NA,NA,NA
"Ctenochaetus striatus",1262,3150,1279,412,27143,2.8,19.7,"SL",NA,NA,176,"unsexed",0.0409,NA,3.066,0.99202,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","fresh","Eastern coast, coral reefs",27143,"036",NA,3,1998-08-21,NA,2001-12-13,NA,NA,NA
"Ctenochaetus striatus",1262,3151,1279,412,55787,3.8,21,"FL",NA,NA,180,"mixed",0.02313,NA,3.06347,0.99002,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","fresh",NA,55787,"540","Error:  7.7%",1531,2005-12-06,NA,2005-12-06,NA,NA,NA
"Ctenochaetus striatus",1262,36975,1279,NA,108462,6.5,14,"SL",NA,"Yes",42,"unsexed",0.1016,NA,2.696,0.957,NA,NA,NA,NA,0.0659999996423721,0.156299993395805,2.51300001144409,2.87899994850159,"Type I linear regression","fresh","Davao Gulf / 2009-2012",NA,"608",NA,65,2016-06-06,NA,2022-01-31,NA,NA,NA
"Ctenochaetus striatus",1262,46999,1279,NA,125599,13.4,25.2,"FL",NA,NA,428,"unsexed",0.044,NA,2.82,0.87,NA,NA,NA,NA,0.0328000001609325,0.0592000000178814,2.72000002861023,2.92000007629395,"type I linear regression",NA,"2010 - 2015",NA,"016",NA,65,2022-02-11,NA,2022-02-11,NA,NA,NA
"Ctenochaetus striatus",1262,46720,1279,NA,125700,10.3,18.8,"FL",NA,NA,108,"mixed",0.0339,NA,2.86,0.953,NA,NA,NA,NA,0.0242999996989965,0.0472000017762184,2.74000000953674,2.99000000953674,"Type I linear regression","fresh","Kavieng, New Ireland Province (2015)",125700,"598","Weight range: 25-149 g (Ref, 125700).",2,2022-01-31,NA,2022-01-31,NA,NA,NA
