Species_full,a,b
Cirrhilabrus beauperryi,0.01995,2.99
Cirrhilabrus cyanopleura,0.01698,2.95
Cirrhilabrus exquisitus,0.01349,3.065
Cirrhilabrus flavidorsalis,0.01698,2.95
Cirrhilabrus katherinae,0.01698,2.95
Cirrhilabrus laboutei,0.01349,3.065
Cirrhilabrus lineatus,0.01698,2.95
Cirrhilabrus punctatus,0.012549782,3.102549894
Cirrhilabrus randalli,0.01,3.04
Cirrhilabrus scottorum,0.01539,2.984
Cirrhilabrus solorensis,0.01698,2.95
Cirrhilabrus sp,0.01698,2.95
Cirrhilabrus temminckii,0.01698,2.95
Cirrhilabrus walindi,0.01698,2.95
Cirrhitichthys aprinus,0.01585,3.01
Cirrhitichthys falco,0.008106192,3.419631433
Cirrhitichthys oxycephalus,0.008565,3.43463
Cirrhitops fasciatus,3.70E-06,3.52
Cirrhitops hubbardi,0.0123,3.52
Cirrhitus atlanticus,9.62E-07,3.4266
Cirrhitus pinnulatus,1.80E-05,3.19
Cirrhitus rivulatus,0.866646468,1.853246468
Cirripectes alboapicalis,0.012855,2.985
Cirripectes alleni,0.01023,3.01
Cirripectes auritus,0.00741,3
Cirripectes castaneus,0.01022556,3.07482795
Cirripectes chelomatus,0.00933,3.04
Cirripectes filamentosus,0.008705,3.075
Cirripectes fuscoguttatus,0.009022146,3.008181818
Cirripectes hutchinsi,0.01023,3.01
Cirripectes polyzona,1.010081694,2.055619955
Cirripectes sp,0.009022146,3.008181818
Cirripectes springeri,0.01023,3.01
Cirripectes stigmaticus,0.016177346,2.97950139
Cirripectes vanderbilti,2.57E-05,2.91
Cirripectes variolosus,0.0209,2.91
Clepticus africanus,0.0446,2.76
Clepticus brasiliensis,0.0446,2.76
Clepticus parrae,0.011525,3.0465
Clupeidae unk,9.00E-04,3.62
Cnidoglanis macrocephalus,0.00457,3.07
Conger triporiceps,2.00E-04,3.41
Congrogadus subducens,0.00389,3.12
Coradion altivelis,0.031965474,2.933665883
Coradion chrysozonus,0.02089,3
Coralliozetus springeri,0.00468,3.08
Coris atlantica,0.0058,3.175
Coris auricularis,0.01,3.06
Coris aurilineata,0.01,3.06
Coris aygula,0.004483244,3.365714972
Coris batuensis,0.008250421,3.1572069
Coris bulbifrons,0.01,3.06
Coris caudimacula,0.01,3.06
Coris centralis,0.00389,3.11
Coris cuvieri,0.01,3.06
Coris debueni,0.013785,3.21
Coris dorsomacula,0.008833614,3.188137933
Coris flavovittata,5.50E-06,3.29
Coris formosa,0.01,3.06
Coris gaimard,0.006500842,3.254413799
Coris hewetti,0.01,3.06
Coris picta,0.005195421,3.1822069
Coris pictoides,0.01,3.06
Coris roseoviridis,0.00825,3.157205
Coris sandeyeri,0.01,3.06
Coris sp,0.01,3.06
Coris venusta,8.50E-06,3.21
Coryphopterus dicrus,0.016563333,2.936666667
Coryphopterus eidolon,0.021705,2.875
Coryphopterus glaucofraenum,0.016853333,2.92
Coryphopterus hyalinus,0.00589,3.1
Coryphopterus lipernes,0.021705,2.875
Coryphopterus personatus,0.00891,3.07
Coryphopterus sp,0.016563333,2.936666667
Coryphopterus sp,0.0093,3.03
Coryphopterus tortugae,0.00589,3.1
Coryphopterus urospilus,0.00759,3.16
Corythoichthys conspicillatus,0.00049,3.1
Corythoichthys haematopterus,0.000745683,3.05
Corythoichthys intestinalis,0.000745683,3.05
Corythoichthys ocellatus,0.00049,3.1
Corythoichthys schultzi,1.550245,1.550245
Corythoichthys sp,0.000745683,3.05
Corythoichthys spx,0.000745683,3.05
Corythoichthys spz,0.000745683,3.05
Cosmocampus albirostris,3.00E-04,3.156
Cosmocampus elucens,0.000545,3.05
Cratinus agassizii,0.01072,3.06
Crenimugil crenilabis,0.014284296,3.018187483
Cromileptes altivelis,0.096187274,2.489277437
Crossosalarias macrospilus,0.004793169,3.450321413
Cryptocentrus caeruleomaculatus,0.00589,3.1
Cryptocentrus cinctus,0.016138766,2.861282802
Cryptocentrus fasciatus,0.00589,3.1
Cryptocentrus leptocephalus,0.00891,3.07
Cryptocentrus polyophthalmus,0.00589,3.1
Cryptocentrus sp,0.00891,3.07
Cryptocentrus strigilliceps,0.016138766,2.861282802
Cryptotomus roseus,0.02915,3.2286
Ctenochaetus binotatus,0.039156835,2.874628814
Ctenochaetus cyanocheilus,0.04,2.87
Ctenochaetus flavicauda,0.02371,3.05581
Ctenochaetus hawaiiensis,3.60E-05,3.12
Ctenochaetus marginatus,0.0137,3.083
Ctenochaetus sp,0.02239,2.98
Ctenochaetus striatus,0.02313218,3.063472078
Ctenochaetus strigosus,0.023712333,3.055814451
Ctenochaetus tominiensis,0.02239,2.98
Ctenochaetus truncatus,0.02239,2.98
Ctenogobiops aurocingulus,0.00589,3.1
Ctenogobiops crocineus,0.00589,3.1
Ctenogobiops feroculus,0.017945,2.86
Ctenogobiops maculosus,0.00589,3.1
Ctenogobiops mitodes,0.00589,3.1
Ctenogobiops pomastictus,0.00589,3.1
Ctenogobiops sp,0.00589,3.1
Ctenogobiops tangaroai,0.00589,3.1
Ctenogobius saepepallens,0.0213,2.825
Cybiosarda elegans,1.530644667,1.530644667
Cyclichthys orbicularis,0.0309,2.89
Cyclichthys spilostylus,0.0309,2.89
Cymbacephalus beauforti,0.00562,3.08
Cymbacephalus staigeri,0.00562,3.08
Cymolutes lecluse,2.35E-05,2.98
Cymolutes praetextatus,0.00389,3.12
Cypho purpurascens,0.007419617,3.122416049
Cypho zaps,0.0049,3.1
Cyprinocirrhites polyactis,0.01585,3.01
Dactylopterus volitans,0.0851,2.424
Dactylopus dactylopus,0.00794,2.83
Dascyllus albisella,1.70E-05,3.32
Dascyllus aruanus,0.04150671,2.988875406
Dascyllus carneus,0.01479,2.99
Dascyllus flavicaudus,0.03132,3.04325
Dascyllus marginatus,1.507513059,1.507513059
Dascyllus melanurus,0.02239,2.99
Dascyllus reticulatus,0.031105228,3.132714309
Dascyllus sp,0.02239,2.99
Dascyllus strasburgi,0.02239,2.99
Dascyllus trimaculatus,0.031324286,3.043250679
Dasyatis americana,1.03883,1.950863333
Dasyatis brevicaudata,0.01259,3.03
Dasyatis brevis,1.521295,1.521295
Dasyatis centroura,0.01259,3.03
Dasyatis kuhlii,0.009202872,3.357203047
Dasyatis longa,0.01259,3.03
Dasyatis thetidis,1.521295,1.521295
Decapterus macarellus,0.0078,3.14
Decapterus punctatus,0.01148,2.98
Dendrochirus barberi,4.04E-05,3
Dendrochirus zebra,0.023643638,2.893294004
Dermatolepis dermatolepis,0.988279945,1.982613279
Dermatolepis inermis,0.0015,3.551
Dermatolepis striolata,0.988279945,1.982613279
Diademichthys lineatus,0.01428269,3.05
Diagramma labiosum,0.01995,2.96
Diagramma melanacrum,0.01259,3.01
Diagramma pictum,0.01995,2.96
Diapterus auratus,0.009599925,3.109
Didogobius amicuscaridis,0.0109,3.09
Diodon holacanthus,0.04551884,2.864598999
Diodon holocanthus,0.000638557,2.3979
Diodon hystrix,0.002819681,2.2763
Diodon liturosus,0.0309,2.89
Diodon sp,0.0309,2.89
Diplectrum bivittatum,0.00933,3.09
Diplectrum formosum,0.010684085,3.067
Diplectrum pacificum,0.01,3.15
Diplectrum radiale,0.010684085,3.067
Diplodus argenteus,0.011295,3.105
Diplodus fasciatus,0.059,2.7
Diplodus prayensis,0.0813,2.59
Diplodus sargus,0.0111,3.181
Diplogrammus goramensis,0.00794,2.83
Diplogrammus pauciradiatus,0.00794,2.83
Diploprion bifasciatum,0.013321184,3.158747866
Diproctacanthus xanthurus,0.00933,3.05
Dischistodus chrysopoecilus,0.01479,2.99
Dischistodus darwiniensis,0.01,3.04
Dischistodus melanotus,0.0397,2.943
Dischistodus perspicillatus,0.01479,2.99
Dischistodus prosopotaenia,0.01479,2.99
Dischistodus pseudochrysopoecilus,0.01479,2.99
Discotrema crinophilum,0.0055,3.1
Doratonotus megalepis,0.007675,3.1125
Doryrhamphus dactyliophorus,0.001001365,3
Doryrhamphus excisus,0.00071,3.14
Dules auriga,6.39E-06,3.206
Dunckerocampus dactyliophorus,0.00049,3.1
Echeneis naucrates,0.04350161,2.873596411
Echeneis neucratoides,0.00275,3.15
Echidna catenata,0.000873333,3.140666667
Echidna nebulosa,6.70E-07,3.21
Echidna nocturna,0.00112,3.07
Ecsenius aequalis,0.013705,2.79
Ecsenius alleni,0.00741,3
Ecsenius australianus,0.00741,3
Ecsenius bandanus,0.00741,3
Ecsenius bathi,0.00741,3
Ecsenius bicolor,0.016022266,2.721535791
Ecsenius dentex,0.00741,3
Ecsenius fijiensis,0.00741,3
Ecsenius fourmanoiri,0.00741,3
Ecsenius frontalis,0.00741,3
Ecsenius gravieri,0.00741,3
Ecsenius lineatus,0.00741,3
Ecsenius lividanalis,0.00741,3
Ecsenius mandibularis,0.00741,3
Ecsenius midas,0.015644816,2.792036405
Ecsenius minutus,0.00741,3
Ecsenius nalolo,0.00741,3
Ecsenius namiyei,0.00741,3
Ecsenius oculatus,0.00741,3
Ecsenius pictus,0.00741,3
Ecsenius prooculis,0.00741,3
Ecsenius schroederi,0.00741,3
Ecsenius sp,0.00741,3
Ecsenius stictus,0.00741,3
Ecsenius stigmatura,0.00741,3
Ecsenius tigris,0.00741,3
Ecsenius trilineatus,0.00741,3
Ecsenius yaeyamaensis,0.00741,3
Elacatinus chancei,0.008,3.137
Elacatinus dilepis,0.006945,3.1185
Elacatinus evelynae,0.006945,3.1185
Elacatinus figaro,5.83E-06,3.137
Elacatinus genie,0.00891,3.07
Elacatinus horsti,0.00891,3.07
Elacatinus inornatus,0.00813,3.17
Elacatinus lobeli,0.00891,3.07
Elacatinus louisae,0.008,3.137
Elacatinus oceanops,0.00871,3.08
Elacatinus phthirophagus,5.83E-06,3.137
Elacatinus pridisi,5.83E-06,3.137
Elacatinus prochilos,0.00589,3.1
Elacatinus puncticulatus,0.00676,3.1
Elacatinus randalli,0.00589,3.1
Elacatinus saucrus,0.00589,3.1
Elacatinus sp,0.00676,3.1
Elacatinus xanthiprora,0.00891,3.07
Elagatis bipinnulata,0.01223,2.9
Eleotrica cableae,0.00589,3.1
Elops affinis,0.01,3.02
Emblemariopsis ramirezi,0.00468,3.08
Emblemariopsis signifer,8.41E-06,2.9625
Emblemariopsis sp,0.00468,3.08
Emblemariopsis sp,8.41E-06,2.9625
Emmelichthyops atlanticus,0.00389,3.12
Enchelycore anatina,0.00173,3
Enchelycore carychroa,0.00112,3.07
Enchelycore lichenosa,0.00112,3.07
Enchelycore nigricans,0.00173,3
Enchelycore ramosa,0.00112,3.07
Enchelynassa canina,1.20E-06,3.12
Engraulis anchoita,2.54E-05,3.051
Enneanectes carminalis,0.00776,3.13
Enneapterygius atriceps,6.93E-06,3.25
Enneapterygius atrogulare,0.0055,3.08
Enneapterygius etheostomus,0.0055,3.08
Enneapterygius flavoccipitis,0.0055,3.08
Enneapterygius howensis,0.0055,3.08
Enneapterygius larsonae,0.0055,3.08
Enneapterygius mirabilis,0.0055,3.08
Enneapterygius rufopileus,0.0055,3.08
Enneapterygius similis,0.0055,3.08
Enneapterygius sp,0.0055,3.08
Enneapterygius tutuilae,0.0055,3.08
Entomacrodus marmoratus,3.01E-06,3.54
Entomacrodus sp,0.0081,3.27
Eocallionymus papilio,0.01047,3.01
Epibulus brevis,0.00389,3.12
Epibulus insidiator,0.016138369,3.081018461
Epibulus sp,0.016138369,3.081018461
Epinephelus adscensionis,0.0125,3.224
Epinephelus analogus,1.526894288,1.526894288
Epinephelus bilobatus,0.01122,3.04
Epinephelus bleekeri,0.01259,3.06
Epinephelus clippertonensis,0.01122,3.04
Epinephelus coeruleopunctatus,0.014479925,2.968899002
Epinephelus coioides,0.010688512,3.070892539
Epinephelus corallicola,1.526894288,1.526894288
Epinephelus cyanopodus,0.011005608,3.081866091
Epinephelus daemelii,0.01122,3.04
Epinephelus fasciatus,0.012351618,3.035329926
Epinephelus fuscoguttatus,0.011792239,3.043617244
Epinephelus guttatus,0.02361,2.9395
Epinephelus hexagonatus,0.011518992,3.029956927
Epinephelus howlandi,0.015578096,3.003031425
Epinephelus irroratus,0.01122,3.04
Epinephelus itajara,0.01072,3.04
Epinephelus labriformis,0.0343,2.9
Epinephelus lanceolatus,1.022008517,2.035486452
Epinephelus longispinis,0.01995,3.14
Epinephelus macrospilos,0.011714404,3.030358155
Epinephelus maculatus,0.010422277,3.050657079
Epinephelus malabaricus,0.012183448,3.050944102
Epinephelus melanostigma,0.011480883,3.042307692
Epinephelus merra,0.015648785,2.990591099
Epinephelus morio,1.13E-05,3.035
Epinephelus multinotatus,0.00955,3.01
Epinephelus octofasciatus,0.01349,3.04
Epinephelus ongus,0.015237328,2.978901649
Epinephelus polyphekadion,0.009526409,3.112879575
Epinephelus quoyanus,0.01122,3.04
Epinephelus rivulatus,0.0123,3.03
Epinephelus socialis,0.010595659,3.086143594
Epinephelus sp,0.01122,3.04
Epinephelus spilotoceps,0.009775,3.065
Epinephelus striatus,0.01346,3.025
Epinephelus tauvina,0.013295659,3.046623594
Epinephelus trimaculatus,0.01122,3.04
Epinephelus tukula,0.01479,3.05
Equetus lanceolatus,1.56E-07,3.8444
Equetus punctatus,0.004905,3.462
Eucinostomus argenteus,0.008066787,3.175
Eucinostomus melanopterus,0.010769901,3.042
Eucinostomus sp,0.008066787,3.175
Eucrossorhinus dasypogon,0.00389,3.12
Eugerres sp,0.0309,2.686
Euthynnus affinis,0.013605623,2.977952987
Euthynnus alletteratus,0.0065,3.153
Euthynnus lineatus,0.00955,3.06
Eviota albolineata,0.00589,3.1
Eviota atriventris,0.00589,3.1
Eviota bifasciata,0.016138766,2.861282802
Eviota bimaculata,0.00891,3.07
Eviota fasciola,0.00589,3.1
Eviota guttata,0.00589,3.1
Eviota hoesei,0.00891,3.07
Eviota lachdeberei,0.00589,3.1
Eviota latifasciata,0.00589,3.1
Eviota melasma,0.00589,3.1
Eviota natalis,0.00589,3.1
Eviota nigriventris,0.016138766,2.861282802
Eviota pellucida,0.00891,3.07
Eviota prasina,0.00589,3.1
Eviota prasites,0.00589,3.1
Eviota punctulata,0.00589,3.1
Eviota queenslandica,0.00589,3.1
Eviota raja,0.00589,3.1
Eviota readerae,0.00891,3.07
Eviota rubriceps,0.00589,3.1
Eviota rubrisparsa,0.00589,3.1
Eviota sebreei,0.00589,3.1
Eviota sigillata,0.00589,3.1
Eviota smaragdus,0.00891,3.07
Eviota sp,0.00589,3.1
Eviota spd,0.00589,3.1
Eviota spilota,0.00589,3.1
Eviota storthynx,0.00589,3.1
Eviota zebrina,0.00589,3.1
Exallias brevis,9.70E-07,3.84
Exyrias belissimus,0.010448229,2.95603847
Fistularia commersonii,0.0053,2.59
Fistularia petimba,0.002067251,2.921781316
Fistularia tabacaria,0.003025,2.765
Foa brachygramma,3.19E-05,2.97
Forcipiger flavissimus,0.014643173,3.17
Forcipiger longirostris,0.042050947,2.847331765
Fowleria variegata,0.01343558,3.34959001
Fusigobius aureus,0.00891,3.07
Fusigobius duospilus,0.00589,3.1
Fusigobius inframaculatus,0.00891,3.07
Fusigobius melacron,0.00589,3.1
Fusigobius neophytus,0.00891,3.07
Fusigobius signipinnis,0.00891,3.07
Fusigobius sp,0.00891,3.07
Galeocerdo cuvier,0.00398,3.15
Gazza minuta,0.032724513,2.876307282
Genicanthus caudovittatus,1.4601,1.4601
Genicanthus lamarck,0.0302,2.89
Genicanthus melanospilos,0.0302,2.89
Genicanthus semicinctus,0.0302,2.89
Genicanthus watanabei,0.044317576,2.80413885
Gerres cinereus,0.013426667,2.8864
Gerres oblongus,0.01202,3.07
Gerres ovatus,0.022926236,3.004744492
Gerres oyena,0.009452287,3.337081989
Gerres subfasciatus,0.01479,3.07
Ginglymostoma cirratum,1.35E-05,2.892
Girella cyanea,0.01549,3.03
Girella freminvillii,0.01549,3.03
Girella stuebeli,0.0227,2.983
Glaucosoma magnificum,0.01995,3.01
Glyptoparus delicatulus,0.00741,3
Gnathanodon speciosus,0.017025751,2.977481237
Gnathodentex aureolineatus,0.018039674,3.062543258
Gnatholepis anjerensis,6.90E-06,3.3
Gnatholepis cauerensis,0.014355,2.95
Gnatholepis pascuensis,0.0175,2.83
Gnatholepis species,0.0175,2.83
Gnatholepis thompsoni,6.02E-07,3.7669
Gobiidae sp,0.014164639,2.902488013
Gobiodon ceramensis,0.01995,3.01
Gobiodon citrinus,1.031349065,1.825174874
Gobiodon heterospilos,0.01995,3.01
Gobiodon histrio,0.01995,3.01
Gobiodon okinawae,0.038822846,2.72458656
Gobiodon prolixus,0.01995,3.01
Gobiodon quinquestrigatus,0.01995,3.01
Gobiodon rivulatus,1.031349065,1.825174874
Gobiodon sp,0.01995,3.01
Gobiodon spilophthalmus,0.00891,3.07
Gobius tetrophthalmus,0.0109,3.09
Gomphosus caeruleus,1.488305,1.488305
Gomphosus varius,0.024366779,2.702688094
Goniistius plessisi,0.0183,3.12
Gorgasia barnesi,0.00102,3.06
Gorgasia galzini,0.00102,3.06
Gorogobius nigricinctus,0.0109,3.09
Gorogobius stevcici,0.0109,3.09
Gracila albomarginata,0.01061,3.04
Gramma brasiliensis,0.0096,3.167
Gramma loreto,0.01201,3.038
Gramma melacara,0.01201,3.038
Grammatorcynus bicarinatus,1.442741818,1.442741818
Grammatorcynus bilineatus,1.442741818,1.442741818
Grammistes sexlineatus,0.95906202,2.032845047
Gunnellichthys curiosus,5.70E-07,3.55
Gunnellichthys monostigma,0.00389,3.12
Gymneleotris seminuda,0.00589,3.1
Gymnocaesio gymnoptera,0.01122,3.04
Gymnocranius audleyi,0.02042,2.99
Gymnocranius euanus,0.02,3
Gymnocranius microdon,0.0166,2.99
Gymnomuraena zebra,6.70E-07,3.21
Gymnosarda unicolor,0.018091246,2.835905973
Gymnothorax annasona,0.00095,3.1
Gymnothorax breedeni,0.00095,3.1
Gymnothorax buroensis,0.000989392,3.101481481
Gymnothorax castaneus,0.00095,3.1
Gymnothorax dovii,0.002954683,2.985
Gymnothorax eurostus,0.0021,3
Gymnothorax favagineus,0.00095,3.1
Gymnothorax fimbriatus,0.00089,3.11
Gymnothorax flavimarginatus,0.004959366,2.87
Gymnothorax funebris,0.001025,3.175
Gymnothorax griseus,0.00095,3.1
Gymnothorax isingteena,0.00095,3.1
Gymnothorax javanicus,0.004959366,2.87
Gymnothorax melatremus,1.551235437,1.551235437
Gymnothorax meleagris,4.00E-07,3.24
Gymnothorax miliaris,2.92E-05,2.574
Gymnothorax moringa,0.000963333,3.119333333
Gymnothorax nubilus,0.00102,3.1
Gymnothorax nudivomer,6.70E-06,2.87
Gymnothorax panamensis,0.00093,3.1
Gymnothorax pictus,0.000989392,3.101481481
Gymnothorax porphyreus,0.001625,3.05
Gymnothorax prionodon,0.00095,3.1
Gymnothorax sp,0.00095,3.1
Gymnothorax sp,0.001,3.07
Gymnothorax thrysoideus,0.00095,3.1
Gymnothorax thyrsoideus,0.00095,3.1
Gymnothorax undulatus,1.034329606,2.135204495
Gymnothorax vicinus,0.001933333,3.072
Gymnothorax zonipectis,1.551235437,1.551235437
Haemulon album,0.01315,3.045
Haemulon aurolineatum,0.011963333,3.090433333
Haemulon bonariense,0.01716,3.03
Haemulon carbonarium,0.02869,2.86
Haemulon chrysargyreum,0.01243,3.039133333
Haemulon flaviguttatum,1.510337802,1.510337802
Haemulon flavolineatum,0.01694,3
Haemulon macrostomum,0.016545,3.045
Haemulon maculicauda,0.01349,3.04
Haemulon melanurum,1.52E-05,3.0423
Haemulon parra,0.01716,3.03
Haemulon plumierii,0.024616667,2.917333333
Haemulon sciurus,0.01847,2.99
Haemulon scudderi,0.01716,3.03
Haemulon scudderii,0.01479,3.03
Haemulon sexfasciatum,0.0263,3.01
Haemulon sp,0.01716,3.03
Haemulon squamipinna,0.0101,3.0813
Haemulon steindachneri,7.37E-06,3.124
Haemulon steindachneri,0.01716,3.03
Haemulon striatum,0.0175,3.099
Haemulon vittatum,0.01716,3.03
Halicampus boothae,0.00049,3.1
Halicampus mataafae,0.00049,3.1
Halichoeres adustus,0.007535,3.247
Halichoeres argus,0.013084627,2.998410768
Halichoeres biocellatus,0.782776654,2.268128318
Halichoeres bivittatus,0.009743333,3.1011
Halichoeres brasiliensis,0.008385,3.235
Halichoeres brownfieldi,0.00977,3.08
Halichoeres chierchiae,0.00977,3.08
Halichoeres chloropterus,0.00776,3.02
Halichoeres chrysus,0.00977,3.08
Halichoeres cosmetus,0.00977,3.08
Halichoeres cyanocephalus,0.00977,3.08
Halichoeres dimidiatus,0.008385,3.235
Halichoeres discolor,0.004595,3.262
Halichoeres dispilus,0.004595,3.262
Halichoeres erdmanni,0.00977,3.08
Halichoeres garnoti,0.0076,3.2525
Halichoeres hartzfeldii,0.00977,3.08
Halichoeres hortulanus,0.015261105,3.019139991
Halichoeres insularis,0.00977,3.08
Halichoeres iridis,0.00977,3.08
Halichoeres leucurus,0.00977,3.08
Halichoeres maculipinna,0.006515,3.4465
Halichoeres malpelo,0.00389,3.11
Halichoeres margaritaceus,0.628341323,2.414502655
Halichoeres marginatus,0.013241658,3.063709987
Halichoeres melanochir,0.00977,3.08
Halichoeres melanotis,0.00977,3.08
Halichoeres melanurus,0.012734335,3.142974705
Halichoeres melasmapomus,0.012561105,3.043806658
Halichoeres miniatus,0.00977,3.08
Halichoeres nebulosus,0.012891658,3.033709987
Halichoeres nicholsi,0.00977,3.08
Halichoeres nigrescens,0.00977,3.08
Halichoeres notospilus,0.00977,3.08
Halichoeres orientalis,0.00977,3.08
Halichoeres ornatissimus,0.016013316,2.987419974
Halichoeres pelicieri,0.00977,3.08
Halichoeres penrosei,0.0105,3.0933
Halichoeres pictus,0.007485,3.2275
Halichoeres podostigma,0.00977,3.08
Halichoeres poeyi,0.00809,3.178333333
Halichoeres prosopeion,0.015261105,3.019139991
Halichoeres radiatus,0.778798325,2.380773325
Halichoeres richmondi,0.012891658,3.033709987
Halichoeres rubrovirens,0.0093,3.07
Halichoeres salmofasciatus,0.007535,3.247
Halichoeres sazimai,0.0105,3.0933
Halichoeres scapularis,0.01,3.13
Halichoeres semicinctus,0.00977,3.08
Halichoeres solorensis,0.00977,3.08
Halichoeres sp,0.00977,3.08
Halichoeres tenuispinis,0.00977,3.08
Halichoeres timorensis,0.00977,3.08
Halichoeres trimaculatus,0.022653357,2.821947793
Halichoeres zeylonicus,0.016013316,2.987419974
Halophryne diemensis,0.00389,3.12
Helcogramma chica,0.0055,3.08
Helcogramma sp,0.0055,3.08
Helcogramma striatum,0.0055,3.08
Hemiemblemaria simulus,0.00457,3.08
Hemiglyphidodon plagiometopon,0.021833022,3.070984518
Hemigymnus fasciatus,0.628208008,2.363496954
Hemigymnus melapterus,0.018127216,2.991308924
Hemiramphus brasiliensis,0.0017,3.1717
Hemiramphus depauperatus,0.00575,3.28
Hemiramphus far,0.0017,3.1717
Hemiscyllium ocellatum,0.00355,3.14
Hemiscyllium trispeculare,0.00355,3.14
Hemitaurichthys multispinosus,0.02188,3.02
Hemitaurichthys polylepis,7.71E-05,2.89
Hemitaurichthys thompsoni,7.71E-05,2.89
Hemitaurichthys zoster,0.02188,3.02
Heniochus acuminatus,0.022362957,3.08526742
Heniochus chrysostomus,0.01720851,3.245293609
Heniochus diphreutes,2.35E-05,3.06
Heniochus intermedius,1.532543754,1.532543754
Heniochus monoceros,0.018486762,3.17029052
Heniochus pleurotaenia,0.02188,3.02
Heniochus singularius,1.030079809,2.04908817
Heniochus varius,1.030079809,2.04908817
Heteroclinus roseus,0.011060445,2.902382038
Heteroconger hassi,0.00102,3.06
Heteroconger klausewitzi,0.00102,3.06
Heteroconger longissimus,6.00E-04,3.2486
Heterodontus quoyi,0.00389,3.12
Heteropriacanthus cruentatus,0.021943202,1.7495
Himantura fai,1.521295,1.521295
Himantura schmardae,0.01259,3.03
Hippocampus bargibanti,0.00427,3
Hippocampus ingens,0.00427,3
Hippocampus pontohi,0.00427,3
Hippocampus reidi,3.00E-04,3.156
Hipposcarus harid,1.532065,1.532065
Hipposcarus longiceps,0.022236967,2.970682336
Holacanthus africanus,4.24E-05,2.9004
Holacanthus bermudensis,0.0302,2.89
Holacanthus ciliaris,4.24E-05,2.9004
Holacanthus clarionensis,0.0302,2.89
Holacanthus limbaughi,0.0302,2.89
Holacanthus passer,0.03466,2.915
Holacanthus tricolor,5.94E-05,2.8577
Holocentrus adscensionis,0.014973333,3.015333333
Holocentrus rufus,0.01324,2.9745
Hologymnosus annulatus,0.010669345,3.177649683
Hologymnosus doliatus,0.007279673,3.143824842
Hologymnosus sp,0.010669345,3.177649683
Hoplolatilus cuniculus,0.00537,3.03
Hoplolatilus starcki,0.01122,3.04
Hoplopagrus guentherii,1.501188162,1.501188162
Hypanus longus,0.00676,3.06
Hypleurochilus fissicornis,1.14E-05,3.0332
Hypleurochilus pseudoaequipinnis,1.14E-05,3.0332
Hypnos monopterygius,0.01,3.04
Hypoatherina barnesi,0.00525,3.11
Hypoplectrodes annulatus,0.00933,2.97
Hypoplectrodes maccullochi,0.00933,2.97
Hypoplectrodes sp,0.00933,2.97
Hypoplectrus aberrans,0.01339,3.035
Hypoplectrus chlorurus,0.01339,3.035
Hypoplectrus gemma,0.01072,3.06
Hypoplectrus guttavarius,0.01339,3.035
Hypoplectrus indigo,0.01339,3.035
Hypoplectrus nigricans,0.01339,3.035
Hypoplectrus providencianus,0.01778,3.03
Hypoplectrus puella,1.01981344,2.030146773
Hypoplectrus sp,0.01339,3.035
Hypoplectrus unicolor,0.01439,3.106
Hyporhamphus affinis,0.00204,3.15
Hyporhamphus dussumieri,0.001022979,4.035145641
Hyporthodus niveatus,0.0259,2.867
Hypsoblennius brevipinnis,0.008755,3.00855
Hypsoblennius invemar,0.0112,2.9792
Inermia vittata,0.005845,3.13
Iniistius aneitensis,0.01122,3.04
Iniistius celebicus,0.01122,3.04
Iniistius pavo,0.01122,3.04
Inimicus filamentosus,0.01122,3.04
Isocirrhitus sexfasciatus,0.00912,3.08
Istiblennius cyanostigma,0.002176338,3.900642826
Istiblennius edentulus,0.002176338,3.900642826
Istiblennius lineatus,0.002176338,3.900642826
Istigobius decoratus,0.01316028,2.8737423
Istigobius diadema,0.00589,3.1
Istigobius goldmanni,0.014455,2.925
Istigobius nigroocellatus,0.00891,3.07
Istigobius ornatus,0.009680108,3.09912714
Istigobius rigilius,1.536105813,1.536105813
Istigobius spence,0.00891,3.07
Itycirrhitus wilhelmi,0.0033,3.85
Jenkinsia lamprotaenia,0.00676,3.25
Johnrandallia nigrirostris,0.03627,2.947
Koumansetta hectori,0.00589,3.1
Koumansetta rainfordi,0.013642981,2.951783788
Kuhlia mugil,0.01445,3.06
Kuhlia sandvicensis,1.50E-05,3.12
Kyphosus analogus,0.01778,3.01
Kyphosus bigibbus,3.20E-05,3.02
Kyphosus cinerascens,0.012852897,3.150588687
Kyphosus elegans,0.02264,2.935
Kyphosus incisor,1.512924371,1.512924371
Kyphosus sandvicensis,0.01778,3.01
Kyphosus sectatrix,1.512924371,1.512924371
Kyphosus sp,0.01998,3.03696
Kyphosus spp,0.01778,3.01
Kyphosus spp,1.45E-05,3.0801
Kyphosus sydneyanus,0.01862,3.02
Kyphosus vaigiensis,0.019982672,3.036956726
Labracinus cyclophthalmus,0.01995,3.01
Labracinus lineatus,0.01175,3.01
Labracoglossa nitida,0.01514,3
Labrichthys unilineatus,0.715639819,2.299884904
Labrisomus cricota,0.008865,3.115
Labrisomus dendriticus,0.00457,3.11
Labrisomus filamentosus,0.00933,3.03
Labrisomus kalisherae,0.006485,3.155
Labrisomus multiporosus,0.00933,3.03
Labrisomus nuchipinnis,0.017423333,2.996666667
Labrisomus xanti,0.00933,3.03
Labroides bicolor,0.006671447,3.193126935
Labroides dimidiatus,0.006543727,3.207966064
Labroides pectoralis,0.008379782,3.165883228
